Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation_Risk_Original,Location,Gender Diversity (%),Automation_Risk_New
Maintenance engineer,Manufacturing,Increasing,Low,90050.28,Master’s Degree,4,8587,3442,75.4,52.22,Germany,29.88,33.62711129418891
Insurance risk surveyor,Education,Decreasing,Low,62160.94,Master’s Degree,6,4098,5978,94.51,33.13,UK,79.85,27.950588298336235
Claims inspector/assessor,Healthcare,Decreasing,High,93941.31,Master’s Degree,17,3403,9846,15.17,27.66,China,62.68,63.06759785259485
Management consultant,IT,Decreasing,Low,71129.35,PhD,8,7818,4399,24.71,39.66,Australia,51.06,24.825868504909494
Licensed conveyancer,Healthcare,Increasing,High,149399.79,Bachelor’s Degree,4,4539,8615,68.92,28.97,Canada,51.93,36.4378889437103
"Engineer, manufacturing",Manufacturing,Increasing,Low,79716.22,Master’s Degree,16,9514,5634,25.89,8.28,China,79.32,40.64239541191477
Air broker,Education,Increasing,Low,127697.58,Associate Degree,18,3212,314,52.53,14.57,Brazil,71.45,27.66876560991362
Warden/ranger,Manufacturing,Increasing,High,30488.03,High School,8,9112,711,68.44,53.87,India,62.92,69.23554120999155
Podiatrist,Manufacturing,Increasing,Moderate,145112.16,Bachelor’s Degree,15,8354,7914,91.82,70.21,India,74.11,38.272090246413704
Exhibition designer,Retail,Decreasing,Moderate,58513.67,Associate Degree,14,1854,421,27.63,50.19,Canada,29.3,65.82808933550875
"Psychologist, sport and exercise",Education,Increasing,Moderate,139155.15,PhD,4,4229,2215,45.25,21.72,Brazil,45.53,22.380859659665
Chief of Staff,Manufacturing,Decreasing,High,38425.79,Associate Degree,12,5653,7898,21.94,87.12,Germany,55.86,90.34363851556397
Medical secretary,IT,Increasing,Moderate,49967.06,Associate Degree,15,965,6911,59.37,76.57,China,70.28,34.00912876082208
"Lecturer, further education",Healthcare,Increasing,Low,63377.35,High School,16,8174,4740,63.88,33.47,UK,76.9,26.479871334259006
Dietitian,Entertainment,Decreasing,High,47978.04,PhD,4,6032,796,7.69,13.71,USA,48.61,54.87483191035115
Astronomer,IT,Increasing,High,123801.25,Bachelor’s Degree,6,7233,4376,48.72,25.66,Australia,61.84,41.682736681861016
Environmental education officer,IT,Decreasing,Moderate,32846.73,PhD,8,5474,7169,18.24,35.62,UK,67.18,45.51146247769723
"Nurse, adult",Finance,Decreasing,Low,93165.47,Master’s Degree,12,2942,8198,70.46,95.62,Germany,48.59,33.66285274598569
Gaffer,Healthcare,Decreasing,High,99326.06,Bachelor’s Degree,13,2507,9825,35.87,39.11,Brazil,73.01,63.80043973934243
Hotel manager,Education,Decreasing,Moderate,46505.95,High School,18,1190,8889,12.65,7.43,Canada,22.53,73.32925057457003
Public librarian,Education,Increasing,High,98377.85,Associate Degree,1,7260,2321,98.08,30.08,China,46.78,39.72443164064735
Further education lecturer,Healthcare,Increasing,Moderate,44419.48,High School,3,7541,2219,2.34,12.45,USA,71.4,60.61394859699664
"Engineer, building services",Education,Increasing,Moderate,61401.49,PhD,1,609,7767,26.66,72.28,Canada,29.74,26.963909555576613
Cartographer,Retail,Increasing,Low,135786.27,High School,11,7388,8206,26.38,77.36,UK,70.26,52.32490242552609
Field trials officer,IT,Increasing,High,35409.12,Associate Degree,5,5912,3081,72.58,31.43,Canada,63.12,43.043694544619534
"Accountant, chartered",Healthcare,Decreasing,Moderate,98562.53,Bachelor’s Degree,10,8720,5144,34.77,88.78,China,53.52,50.92346224283443
Psychotherapist,IT,Increasing,Low,81161.84,High School,13,1049,3718,8.75,43.36,Brazil,25.26,47.28698900481563
"Journalist, magazine",Healthcare,Increasing,Moderate,126457.88,Master’s Degree,6,2412,742,2.28,55.98,USA,23.38,38.25390025800002
Associate Professor,Finance,Decreasing,Low,136734.95,Associate Degree,16,8243,3276,29.36,68.94,Brazil,63.19,50.35539106164716
Theatre manager,Finance,Decreasing,Low,98645.68,High School,10,4884,9635,31.69,88.65,China,78.89,56.283959493583396
"Nurse, adult",Manufacturing,Decreasing,High,45920.67,Master’s Degree,10,2502,4380,89.03,26.98,USA,51.99,64.68287010114221
Midwife,Entertainment,Decreasing,Low,139196.29,Associate Degree,11,5769,2368,5.15,43.68,Canada,77.61,54.22872208963107
Higher education careers adviser,Healthcare,Decreasing,Low,134212.23,PhD,7,8239,4428,94.48,84.7,UK,21.95,20.60574773340942
Sports coach,Healthcare,Increasing,Low,120967.82,Bachelor’s Degree,15,3076,2202,19.58,46.15,USA,31.82,32.180135539067756
Financial adviser,Education,Increasing,Moderate,97975.35,Master’s Degree,2,5309,8285,78.51,66.53,Brazil,79.34,22.92044505868474
Music therapist,Finance,Decreasing,Moderate,92574.96,PhD,12,2720,1176,72.73,68.86,Brazil,65.01,38.41284426766829
Nutritional therapist,Finance,Increasing,Low,140840.97,Master’s Degree,13,8171,7022,8.88,59.99,Australia,44.33,33.428071330608454
Control and instrumentation engineer,Entertainment,Decreasing,Low,116614.03,Associate Degree,14,1212,9150,0.37,21.71,India,66.0,50.48670556283197
Chartered legal executive (England and Wales),Finance,Decreasing,Moderate,37206.78,High School,9,9438,2478,97.8,80.28,Germany,70.83,50.95936639838165
"Programmer, multimedia",Retail,Decreasing,High,45880.92,Associate Degree,7,9877,1346,44.7,13.26,Germany,48.31,79.05676556507767
Furniture designer,Entertainment,Increasing,Moderate,93318.18,Bachelor’s Degree,0,6075,3257,87.58,42.94,Germany,42.91,21.8059237733088
Photographer,Retail,Increasing,Moderate,125646.55,Master’s Degree,11,3593,8999,38.0,85.44,Canada,57.57,38.12958283668137
Chartered public finance accountant,Manufacturing,Increasing,Low,127475.03,High School,17,1919,1990,24.28,77.94,India,64.47,52.98272524496682
Veterinary surgeon,IT,Decreasing,High,54158.29,PhD,16,3368,788,2.88,87.9,UK,76.87,59.12583763122752
Community arts worker,Manufacturing,Increasing,High,32445.35,PhD,2,3934,6578,63.32,46.74,Canada,36.33,41.97191560424308
"Programme researcher, broadcasting/film/video",Entertainment,Increasing,Moderate,55291.43,Associate Degree,8,7159,2599,88.4,31.4,Canada,50.96,31.73019909689803
Personal assistant,Transportation,Decreasing,Moderate,99089.58,PhD,0,6301,2647,57.43,49.87,USA,52.41,40.88950521482904
Museum/gallery exhibitions officer,Transportation,Decreasing,Moderate,104349.11,Master’s Degree,5,7896,5445,37.56,44.11,Canada,61.32,45.76666700851742
Race relations officer,Education,Increasing,Low,117574.74,PhD,16,2453,9744,95.52,17.3,China,42.94,0.0
Records manager,Transportation,Decreasing,High,47444.11,Master’s Degree,0,7837,7343,2.94,6.88,USA,53.0,75.09632005593234
Chartered legal executive (England and Wales),Education,Increasing,Moderate,116346.11,Associate Degree,9,4694,5792,89.45,37.55,Germany,50.16,29.830830806106775
Special educational needs teacher,Retail,Decreasing,Moderate,31495.05,Master’s Degree,14,5339,3056,75.57,99.47,Germany,40.01,52.16197607954357
"Accountant, chartered",Manufacturing,Decreasing,Low,106578.42,High School,10,5103,8939,5.12,70.69,UK,47.62,82.21657305104955
Television floor manager,Finance,Increasing,Low,121063.6,High School,5,7925,4683,98.51,4.38,Australia,24.37,27.53420629109168
Electrical engineer,Education,Decreasing,Moderate,94516.88,High School,8,8168,9549,34.7,73.33,Germany,21.5,64.88131026225994
Curator,Finance,Decreasing,High,52580.33,Associate Degree,18,6557,5361,19.02,80.75,UK,54.3,69.51832373386691
"Teacher, secondary school",Finance,Increasing,Low,74951.73,Master’s Degree,1,3202,9111,80.27,12.22,USA,78.66,13.463270979051448
Insurance underwriter,Transportation,Increasing,Low,128401.39,High School,14,5957,294,48.02,0.03,USA,60.14,44.678859261834006
"Engineer, site",Entertainment,Decreasing,Moderate,37252.34,Associate Degree,13,6283,3284,57.57,81.42,Canada,65.8,48.988783543073666
"Scientist, physiological",Manufacturing,Increasing,Low,93191.76,Associate Degree,15,1336,2284,92.85,45.96,Brazil,63.38,39.791383903910344
Television camera operator,Transportation,Decreasing,Low,140123.65,Master’s Degree,6,296,7446,29.31,57.64,Australia,45.45,49.113748603887856
Sports coach,IT,Increasing,High,114205.79,Associate Degree,20,3055,2753,86.87,6.41,Brazil,51.21,36.42075706347082
"Engineer, production",Finance,Decreasing,Moderate,137189.49,Bachelor’s Degree,5,8866,8824,39.92,82.53,Canada,56.41,54.611025096740114
"Designer, ceramics/pottery",Education,Increasing,High,102233.98,Master’s Degree,18,1946,9888,54.6,53.46,Brazil,73.2,39.51686614363304
Armed forces training and education officer,Finance,Decreasing,Moderate,122086.3,Master’s Degree,14,9508,6089,29.84,45.7,UK,73.44,51.71712058902065
Best boy,Entertainment,Decreasing,Low,80368.25,Associate Degree,9,3689,8242,3.83,29.16,Canada,27.95,53.43724930936332
Quarry manager,IT,Increasing,Moderate,90578.78,High School,14,9957,7881,98.09,52.85,India,26.0,35.18818771130161
Counselling psychologist,IT,Decreasing,Moderate,107633.1,Bachelor’s Degree,12,9136,6590,92.01,13.34,China,27.3,36.69096694223595
English as a foreign language teacher,Finance,Increasing,High,111714.92,Master’s Degree,9,6708,2204,3.38,67.18,UK,27.93,53.91472279001878
"Sales professional, IT",IT,Decreasing,High,128583.28,Master’s Degree,11,9425,924,74.14,12.69,India,65.14,50.15860553126846
Catering manager,Manufacturing,Increasing,Moderate,127994.5,Associate Degree,17,8335,3872,72.63,3.82,China,52.28,49.30703999085878
Corporate investment banker,Entertainment,Increasing,Moderate,48992.91,Bachelor’s Degree,1,522,556,81.69,52.07,UK,43.02,22.34492549203197
"Therapist, music",Manufacturing,Decreasing,Low,41403.47,Bachelor’s Degree,17,4491,7404,26.45,41.66,UK,49.02,59.85048870442523
Advertising copywriter,IT,Decreasing,High,88450.29,PhD,3,530,5626,54.19,21.69,India,42.1,50.69784208482233
Public relations account executive,Education,Decreasing,Moderate,42970.62,Master’s Degree,11,750,6373,87.1,37.38,Germany,47.88,34.57713777436872
Chief Marketing Officer,Healthcare,Increasing,Low,133509.29,PhD,17,5946,5322,9.79,82.57,Brazil,44.39,16.965587399998455
Chief Executive Officer,Finance,Increasing,Low,110880.83,Associate Degree,4,6591,383,4.29,16.48,China,24.85,47.168766892896436
Set designer,Education,Increasing,Moderate,86628.14,Master’s Degree,7,3485,8423,78.48,67.69,UK,59.15,19.940242762761038
Transport planner,IT,Decreasing,Moderate,143272.0,Master’s Degree,8,9941,966,41.76,98.76,Germany,56.55,45.19616116555366
Hydrologist,Transportation,Decreasing,High,111805.62,Master’s Degree,12,4724,9307,93.57,95.79,Germany,72.44,51.03898144047309
Ecologist,Transportation,Increasing,Moderate,53676.25,Master’s Degree,5,7018,4101,25.82,9.63,Australia,28.64,38.598282935609895
Nutritional therapist,Retail,Decreasing,Low,98096.25,Associate Degree,19,2173,9141,14.6,14.89,China,20.89,61.40553964196876
Manufacturing engineer,Transportation,Increasing,High,60677.04,Bachelor’s Degree,19,6909,5562,47.08,22.9,Brazil,25.44,47.10007742760043
Ship broker,Retail,Decreasing,Low,92702.9,Associate Degree,7,5904,2154,6.86,9.89,UK,48.02,66.20405902999985
Drilling engineer,Retail,Decreasing,Moderate,125926.55,High School,7,4315,4891,64.55,93.34,China,32.2,65.58042133609571
Early years teacher,Finance,Increasing,Moderate,145982.72,PhD,13,4603,8651,83.37,67.2,UK,67.83,17.888109269176184
Actor,Entertainment,Increasing,Low,59817.94,PhD,17,8193,6556,18.38,26.82,Germany,31.15,18.99166334004215
Broadcast presenter,Entertainment,Decreasing,Low,38765.27,Master’s Degree,18,8134,3171,7.26,61.4,USA,71.84,39.57293016522875
Tourist information centre manager,Finance,Decreasing,Moderate,50441.49,Master’s Degree,11,4607,8646,19.96,86.74,China,47.43,53.799530039158086
Theatre manager,Manufacturing,Increasing,Low,59444.86,Bachelor’s Degree,17,174,4616,19.18,5.13,India,38.71,47.060782633577894
Press sub,IT,Decreasing,Low,126635.57,PhD,8,379,9322,35.66,41.73,India,47.79,23.877411734511647
Financial manager,Education,Increasing,High,95349.49,Master’s Degree,12,3918,5487,77.06,31.87,India,53.02,39.68053884983646
Sport and exercise psychologist,Transportation,Increasing,High,57975.73,High School,8,387,6749,52.69,12.03,India,22.6,62.645808202451796
Health promotion specialist,Transportation,Decreasing,Moderate,70346.39,Associate Degree,10,9472,9164,72.43,33.17,China,60.76,54.80259485026043
Neurosurgeon,Retail,Decreasing,Low,48207.2,Master’s Degree,8,8511,358,34.0,77.98,China,58.23,45.78604081333036
Banker,Finance,Increasing,Low,135820.64,High School,0,438,7886,30.97,41.61,Brazil,74.79,43.8350849698603
Web designer,Entertainment,Decreasing,Moderate,78420.76,Associate Degree,12,7492,152,18.45,62.07,India,48.21,60.59212593016871
Contractor,Entertainment,Decreasing,Low,63211.42,Bachelor’s Degree,5,8473,7310,15.0,25.46,China,23.82,38.73454700722108
"Radiographer, diagnostic",IT,Decreasing,High,68083.65,Associate Degree,11,4243,7717,36.41,9.48,UK,42.32,69.93242545196613
Administrator,Education,Increasing,High,65750.41,Associate Degree,12,2161,3926,59.73,12.85,UK,78.78,47.887775473726144
"Administrator, arts",Retail,Increasing,Low,143112.5,Bachelor’s Degree,6,1393,1808,54.68,24.88,UK,20.88,29.504651494892578
"Surveyor, building",Manufacturing,Decreasing,High,123028.18,High School,8,750,7077,99.55,10.39,Canada,54.15,72.90621631716022
"Therapist, speech and language",IT,Increasing,Moderate,68849.22,High School,11,3308,8114,59.2,78.32,China,74.67,42.41764090007015
Environmental manager,Retail,Increasing,Moderate,34849.16,High School,10,3102,9875,58.2,81.74,India,23.13,55.91393180156648
Counsellor,Retail,Decreasing,High,91852.31,Master’s Degree,14,1149,2565,86.85,80.39,India,64.74,54.74989962306319
Research scientist (life sciences),Education,Decreasing,High,113822.51,Master’s Degree,13,3796,1968,75.51,9.53,India,47.73,51.21714034575479
Translator,IT,Decreasing,Low,117711.31,Bachelor’s Degree,17,9091,973,92.83,28.35,China,56.88,26.290291364258827
"Journalist, newspaper",IT,Decreasing,Low,66821.76,High School,2,8212,1779,96.14,85.71,UK,51.99,34.08312669458017
Retail buyer,Healthcare,Increasing,Low,115805.83,PhD,19,4880,1648,35.67,47.98,Germany,22.16,16.715407294874026
Musician,IT,Increasing,Moderate,41010.19,High School,19,4878,4641,79.73,43.93,Canada,31.51,42.44808585672029
Printmaker,Retail,Increasing,Low,132741.61,Associate Degree,8,4715,5617,68.46,16.37,Brazil,60.19,36.11962175016287
Further education lecturer,Retail,Increasing,Low,139582.98,Master’s Degree,10,9028,3362,47.58,34.16,Australia,49.22,30.31154984673807
Commissioning editor,Entertainment,Increasing,Moderate,143693.95,PhD,12,8444,5257,35.46,46.97,Canada,70.0,24.85620913047765
Energy engineer,Healthcare,Decreasing,High,73269.07,High School,2,1692,2174,92.75,77.72,China,55.39,63.28132587971652
Rural practice surveyor,IT,Decreasing,Low,139877.21,Master’s Degree,8,6710,9877,49.72,96.8,Canada,42.01,31.73939410375072
"Engineer, structural",Healthcare,Decreasing,High,85423.55,Associate Degree,13,1000,975,34.44,22.17,Australia,70.08,71.21984123229788
Aeronautical engineer,Entertainment,Increasing,Moderate,60767.49,Master’s Degree,9,8245,4157,79.38,26.4,India,36.54,21.268050809641178
Recruitment consultant,Finance,Decreasing,High,82751.36,PhD,14,1124,5932,4.47,82.64,Brazil,53.9,61.210853583094305
Social researcher,Finance,Increasing,Low,77506.29,Associate Degree,16,6623,5126,20.66,61.17,UK,69.05,39.17851568372438
"Designer, television/film set",Manufacturing,Decreasing,High,112017.82,Bachelor’s Degree,13,660,9979,69.98,96.77,China,43.97,72.75108372057545
Media planner,IT,Increasing,Low,127321.97,Bachelor’s Degree,20,7291,976,30.48,68.53,Australia,49.81,25.753563227710256
"Optician, dispensing",Finance,Increasing,High,125846.44,Master’s Degree,17,7444,5963,35.23,95.88,Germany,55.18,48.041604648131035
Logistics and distribution manager,Education,Increasing,High,106569.43,High School,13,2264,5457,87.11,28.97,Germany,23.34,48.72362977819514
"Radiographer, therapeutic",Entertainment,Decreasing,High,70128.52,High School,0,8281,3184,89.24,74.85,China,69.22,69.23322287021487
Counsellor,Finance,Increasing,Low,70968.19,Master’s Degree,12,6745,9898,61.12,91.75,Brazil,38.62,12.361547062778772
Medical physicist,Retail,Decreasing,Moderate,45839.7,PhD,7,5435,9965,67.79,22.75,Brazil,45.42,37.69659197758135
"Restaurant manager, fast food",Healthcare,Decreasing,High,88536.0,PhD,6,1456,9875,27.93,85.98,UK,51.04,49.12888501241617
Hospital pharmacist,Healthcare,Increasing,Moderate,50250.21,Bachelor’s Degree,10,1266,9978,80.8,18.88,Canada,56.85,24.95705648610211
Radiation protection practitioner,IT,Increasing,Low,62251.53,Bachelor’s Degree,7,9586,4412,14.45,2.43,UK,69.52,28.50212239801855
Naval architect,Manufacturing,Decreasing,Low,115898.68,Associate Degree,20,8581,8666,4.5,41.92,USA,23.53,70.43840127185777
Sales promotion account executive,IT,Decreasing,Low,111061.09,Bachelor’s Degree,4,4018,6693,78.5,51.3,India,41.78,38.26291292862642
"Designer, graphic",Manufacturing,Decreasing,Low,33419.18,Associate Degree,14,7055,3549,24.6,3.89,USA,61.66,68.03935982882194
Medical physicist,Manufacturing,Decreasing,High,83581.54,PhD,13,7039,7392,72.32,76.1,Canada,55.55,66.56774840472836
Ophthalmologist,IT,Increasing,High,91627.45,Master’s Degree,12,2142,9838,16.25,48.64,Australia,55.56,42.887625475741295
Technical author,Finance,Decreasing,Moderate,130506.81,High School,2,8403,3131,85.59,7.12,Germany,47.11,57.98349711187864
Video editor,IT,Increasing,Moderate,100105.4,Bachelor’s Degree,13,9198,2929,65.97,39.44,USA,59.1,32.77295552271028
Oceanographer,Finance,Decreasing,Low,101807.24,PhD,11,3544,4276,89.3,14.93,India,40.22,13.836562465742936
Air broker,Finance,Increasing,Moderate,131714.72,Bachelor’s Degree,6,9514,7914,16.01,82.76,Brazil,24.01,40.98805865597178
Politician's assistant,Healthcare,Increasing,Moderate,48224.12,High School,2,1421,3731,47.51,31.61,China,43.53,45.54351242076761
"Psychologist, counselling",Transportation,Increasing,Low,66519.71,Associate Degree,14,3225,1528,0.07,52.41,China,22.04,47.763668258725374
"Therapist, nutritional",Education,Decreasing,High,125739.47,Associate Degree,12,7652,851,78.65,89.37,China,44.96,61.62754807308397
"Surveyor, land/geomatics",Transportation,Increasing,Moderate,56090.63,PhD,13,3504,5265,92.85,75.74,Brazil,25.83,15.902439390103476
Housing manager/officer,IT,Decreasing,Low,31567.22,Bachelor’s Degree,12,5862,8164,2.49,40.45,Australia,73.53,48.05969846630596
Herbalist,Finance,Increasing,High,104600.84,Bachelor’s Degree,0,8609,5801,69.21,97.37,USA,68.07,42.56986840522509
"Surveyor, building",Retail,Decreasing,High,115282.27,PhD,6,2344,452,2.73,58.16,China,56.63,65.5318615186577
Garment/textile technologist,Entertainment,Increasing,Moderate,118672.83,Bachelor’s Degree,17,363,9914,46.8,26.45,Brazil,71.43,29.97161998458274
Multimedia specialist,IT,Increasing,Moderate,107852.78,Associate Degree,6,3104,7603,67.4,75.82,USA,35.71,33.177404243619286
Trade union research officer,Finance,Decreasing,High,78347.99,Associate Degree,3,7663,9733,93.03,70.75,Germany,31.13,63.11981079439932
"Administrator, Civil Service",Transportation,Decreasing,Low,94593.43,Bachelor’s Degree,6,3877,1055,67.83,50.92,Australia,72.57,40.28287275772411
"Producer, television/film/video",Transportation,Decreasing,High,71263.5,Bachelor’s Degree,13,9361,7875,67.37,90.65,UK,22.16,60.38021603167539
Customer service manager,Education,Increasing,Low,39222.09,PhD,4,1652,7613,31.33,16.41,Germany,48.21,17.69077220632634
Scientific laboratory technician,Transportation,Decreasing,Low,88570.41,Master’s Degree,14,2623,6712,96.91,39.58,Canada,79.73,26.76703512763713
Holiday representative,Retail,Decreasing,Low,113630.17,PhD,10,9082,7905,67.61,19.46,UK,56.97,29.79014592284207
"Education officer, environmental",Finance,Decreasing,Low,47690.02,Bachelor’s Degree,9,207,5436,21.09,71.82,Australia,29.12,50.812375529049696
Pharmacologist,Entertainment,Increasing,Low,80090.83,Associate Degree,10,3465,2219,24.34,98.02,USA,21.38,31.258548301910867
"Engineer, chemical",IT,Decreasing,Moderate,145946.42,Master’s Degree,12,1812,3289,68.55,33.88,India,35.49,39.014671330118254
Information systems manager,Manufacturing,Decreasing,High,132112.49,Master’s Degree,10,8567,4347,15.45,27.85,Canada,41.21,79.29257717322619
Clinical biochemist,Healthcare,Increasing,Moderate,149012.5,High School,10,3198,8938,14.76,50.08,Australia,42.92,53.82868487549918
Chief Technology Officer,Finance,Decreasing,Low,34082.61,Bachelor’s Degree,1,691,1805,94.89,39.79,Australia,78.09,29.036682795840797
"Scientist, physiological",Entertainment,Decreasing,High,101866.32,Bachelor’s Degree,20,9189,8357,22.26,88.18,China,42.17,59.498964851919766
Equality and diversity officer,Transportation,Increasing,Moderate,110392.73,Master’s Degree,12,6943,6236,7.41,6.42,Canada,59.28,46.32848166835586
Clinical biochemist,Manufacturing,Increasing,Low,149274.2,High School,4,8073,6531,83.13,73.83,India,50.8,49.25547684068839
Cabin crew,Healthcare,Increasing,Low,82806.01,Bachelor’s Degree,5,140,9196,4.42,19.27,Australia,43.8,30.64979774592244
Chief Financial Officer,Education,Decreasing,Moderate,44438.18,PhD,6,172,5462,72.45,45.63,Canada,60.1,32.186818339499055
"Psychologist, clinical",IT,Increasing,Low,122965.46,Associate Degree,16,4169,3937,37.94,24.68,USA,27.37,27.553056981042538
Occupational therapist,Finance,Decreasing,Moderate,75354.03,Master’s Degree,18,7724,2597,2.04,30.05,Australia,48.13,57.873349547970335
Heritage manager,Manufacturing,Increasing,High,84853.23,Master’s Degree,7,8310,4586,18.16,93.4,China,32.48,69.05185429291791
Bonds trader,Healthcare,Decreasing,Low,70658.49,PhD,18,9842,8687,66.08,46.25,India,52.29,28.52374544130454
"Teacher, early years/pre",Entertainment,Decreasing,Low,136851.27,Associate Degree,13,3765,4148,43.43,25.19,Germany,41.09,48.18929559114074
"Psychologist, clinical",Entertainment,Decreasing,High,118487.14,Master’s Degree,19,6744,6208,5.96,22.44,USA,60.73,60.6833331154732
Quarry manager,Education,Decreasing,Moderate,69933.1,PhD,6,2003,7708,84.9,18.69,India,26.32,27.565663654136667
Quantity surveyor,IT,Increasing,Low,35452.92,PhD,0,6181,8032,52.47,22.64,UK,48.85,10.26156023711003
Hospital pharmacist,Education,Decreasing,Low,94326.27,PhD,20,4328,8085,96.69,49.72,India,75.84,16.056117591301458
IT consultant,Finance,Decreasing,Moderate,76765.08,High School,19,6793,3080,29.36,57.35,UK,36.48,75.46821355684722
Ceramics designer,Manufacturing,Increasing,High,142383.36,High School,7,3616,7427,33.75,41.61,Australia,23.69,75.2859072216725
Arboriculturist,Finance,Decreasing,Moderate,89623.1,Master’s Degree,8,6827,2022,27.71,54.2,Australia,34.89,54.15808906822622
Insurance claims handler,Healthcare,Increasing,Moderate,31857.87,Bachelor’s Degree,6,4489,2935,92.62,76.49,USA,57.99,22.80506914437347
Speech and language therapist,Retail,Decreasing,High,48887.23,High School,15,3945,7456,43.45,38.23,India,26.6,85.543618829736
Water quality scientist,Education,Increasing,Low,131418.63,High School,3,1737,5527,11.82,78.0,Canada,29.81,48.172268497535256
"Designer, ceramics/pottery",Healthcare,Increasing,High,46732.55,PhD,8,1241,4966,18.06,41.99,USA,23.13,32.81968383245467
"Scientist, research (physical sciences)",Retail,Increasing,Moderate,37907.93,High School,9,833,653,37.75,34.58,China,67.08,65.40843704791492
Warehouse manager,Entertainment,Increasing,Low,136261.36,Bachelor’s Degree,5,5678,9089,56.34,62.67,Australia,63.4,23.76367791416142
Occupational hygienist,Healthcare,Decreasing,High,83030.38,PhD,15,6083,1219,9.38,0.13,India,64.51,57.075972360227155
Publishing rights manager,Healthcare,Increasing,Moderate,117202.4,Bachelor’s Degree,12,1391,4554,74.7,83.72,Brazil,29.97,26.302703207174343
"Psychotherapist, child",Entertainment,Increasing,Moderate,100551.52,Master’s Degree,4,6853,1392,77.81,94.54,Australia,71.12,21.668855340696073
Office manager,Manufacturing,Increasing,Low,106960.62,Associate Degree,3,3907,3366,31.96,78.58,China,32.77,55.9393067797811
"Administrator, Civil Service",Transportation,Decreasing,Low,39492.0,High School,15,3502,4302,97.02,47.67,Canada,48.71,51.40506866765264
Music tutor,IT,Increasing,High,41552.42,PhD,10,2959,7233,29.96,4.32,USA,68.33,36.941537934855596
Police officer,Transportation,Decreasing,High,46535.89,Bachelor’s Degree,11,8184,2767,24.56,67.84,China,37.56,75.34628737560926
Diplomatic Services operational officer,Retail,Decreasing,Low,115708.38,Master’s Degree,10,8123,5079,87.02,94.92,USA,41.54,35.754715687885266
"Civil engineer, consulting",Transportation,Increasing,Low,117269.35,High School,18,9902,6310,83.99,19.13,USA,60.67,39.84356139625673
Energy engineer,Entertainment,Decreasing,Moderate,54751.54,High School,14,1371,6504,10.87,59.16,Canada,77.26,73.9777009567736
Fine artist,Education,Decreasing,Moderate,136992.76,Master’s Degree,5,5001,6522,89.29,25.66,India,70.56,34.2772202069195
Advice worker,Education,Decreasing,High,134428.84,Master’s Degree,16,6140,9890,82.36,26.98,Brazil,59.76,48.71169034939741
Acupuncturist,Education,Decreasing,Low,54454.45,Bachelor’s Degree,11,3031,8652,69.23,35.49,China,29.42,34.587466817931336
Proofreader,Education,Increasing,High,108256.37,Master’s Degree,16,8021,117,1.78,20.67,India,33.87,48.97112165884585
"Teacher, primary school",Education,Increasing,High,53273.89,Bachelor’s Degree,10,2399,9460,28.83,80.92,Australia,49.94,44.82912274730401
Museum/gallery exhibitions officer,Retail,Decreasing,Low,38639.07,PhD,18,9128,3428,97.47,77.73,Germany,26.19,21.41705825853654
"Nurse, learning disability",Retail,Decreasing,High,135020.24,Associate Degree,3,8510,6571,73.03,37.56,Brazil,59.63,66.9233536678316
Technical author,Healthcare,Increasing,Low,73089.0,High School,17,6987,1120,15.1,71.75,Germany,39.34,39.13959302532221
"Psychologist, sport and exercise",Transportation,Increasing,Moderate,94823.61,Master’s Degree,7,4436,8760,95.86,56.5,Brazil,35.79,24.57439120030506
"Psychotherapist, dance movement",Healthcare,Increasing,Moderate,53764.59,Master’s Degree,8,8845,5523,77.48,62.02,Australia,70.88,22.99374906408639
Health and safety inspector,IT,Increasing,High,139030.33,Bachelor’s Degree,19,8816,3318,57.39,82.25,Germany,54.99,39.110866596418425
Building services engineer,Entertainment,Decreasing,Moderate,54261.17,Master’s Degree,18,1829,5427,95.39,68.77,USA,54.68,34.65714173386185
Higher education lecturer,Finance,Decreasing,Low,130978.54,Bachelor’s Degree,14,7606,4675,0.77,19.07,Germany,65.48,44.17960883848492
"Lecturer, higher education",Healthcare,Decreasing,Low,117837.81,High School,10,4756,6694,92.13,75.37,China,36.26,46.50334563342651
Records manager,Healthcare,Decreasing,High,122008.69,Associate Degree,13,2270,3534,94.61,5.03,Germany,48.67,59.36882739266095
Risk analyst,Healthcare,Decreasing,Low,103570.35,Bachelor’s Degree,16,542,6203,37.65,98.98,UK,30.31,38.09205398604055
"Psychologist, clinical",Entertainment,Decreasing,Low,121813.79,Master’s Degree,6,5239,2697,60.86,31.21,India,63.57,34.880401215882046
Microbiologist,Finance,Decreasing,Low,52894.05,Bachelor’s Degree,19,2895,8287,48.84,68.55,Brazil,63.71,39.214669268532504
Waste management officer,Transportation,Decreasing,Low,142882.96,Bachelor’s Degree,5,7270,3595,30.09,84.8,China,27.39,50.74023519863159
Recycling officer,Entertainment,Increasing,High,32249.11,Master’s Degree,5,4788,6964,23.33,83.33,Australia,44.7,40.32914978954658
"Psychologist, clinical",Retail,Increasing,Low,89330.38,Associate Degree,5,5199,7848,84.04,73.42,Germany,23.85,30.820956164702107
